attributes,FirstName,LastName,Title,Email,Phone,Country__c,Company,Industry,Status,AnnualRevenue,NumberOfEmployees,Technology__c,Technology_Service__c,RevenueRange,Exists,LeadScore,LeadScoreFinal,LeadCategory
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLE2EAO')])",Screry,Arick,Production Manager,arick@gmail.com,(666) 777-8888,USA,"Director, Innovation Research, Architecture & Digital Collaboration",Not For Profit,Open,2200000.0,400,RPA,Process Analysis and Optimization,2M - 4M,Yes,110,29,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLE3EAO')])",Stormi,Aring,Healthcare Manager,aring@gmail.com,(555) 444-3333,USA,"Director, Information Technology",Other,Open,1800000.0,80,RPA,Process Analysis and Optimization,500k - 2M,Yes,80,16,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLE4EAO')])",Stormi,Arkin,IT Manager,arkin@gmail.com,(555) 444-3333,USA,"Director, Information Technology",Recreation,Open,950000.0,40,RPA,Process Analysis and Optimization,500k - 2M,Yes,80,16,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLE5EAO')])",Scout,Arlin,Data Scientist,arlin@gmail.com,(666) 777-8888,USA,Head of RDS WAN Operations & Network Security (Americas),Retail,Open,1700000.0,200,RPA,Process Analysis and Optimization,500k - 2M,Yes,80,16,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLE6EAO')])",Serena,Armacast,Finance Director,armacast@gmail.com,(333) 444-5555,USA,"Director, Android Development",Shipping,Open,1200000.0,100,RPA,Process Analysis and Optimization,500k - 2M,Yes,80,16,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLE7EAO')])",Seraphina,Armacost,Marketing Manager,armacost@gmail.com,(111) 222-3333,USA,"Director, Cybersecurity & Privacy",Technology,Open,200000.0,100,RPA,Process Analysis and Optimization,0 - 500k,Yes,50,4,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLE8EAO')])",Shea,Arman,Healthcare Director,arman@gmail.com,(777) 888-9999,USA,"Manager, Information Technology",Telecommunications,Open,3000000.0,95,RPA,Process Analysis and Optimization,2M - 4M,Yes,110,29,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLE9EAO')])",Shiloh,Armand,Sales Manager,armand@gmail.com,(222) 333-4444,USA,"Vice President, Specification Systems & Fulfillment",Transportation,Open,750000.0,67,RPA,Process Analysis and Optimization,500k - 2M,Yes,80,16,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEAEA4')])",Sia,Armbrust,Marketing Director,armbrust@gmail.com,(333) 444-5555,USA,"Director, Application Development",Utilities,Open,900000.0,89,AI,AI Chatbots and Virtual Assistants,500k - 2M,Yes,80,16,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEBEA4')])",Sienna,Armentrout,Consultant,armentrout@gmail.com,(987) 654-3210,USA,Director & Chief Data Privacy Officer,Apparel,Open,550000.0,87,AI,AI Chatbots and Virtual Assistants,500k - 2M,Yes,80,16,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLECEA4')])",Skylar,Armer,CEO,armer@gmail.com,(123) 456-7890,USA,"Director, IT, Digital & Distributed Systems",Banking,Open,180000.0,100,AI,AI Chatbots and Virtual Assistants,0 - 500k,Yes,50,4,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEDEA4')])",Sloane,Armins,Healthcare Manager,armins@gmail.com,(888) 999-0000,USA,Director & Employee Experience It Regional Lead,Biotechnology,Open,1600000.0,200,AI,AI Chatbots and Virtual Assistants,500k - 2M,Yes,80,16,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEEEA4')])",Stella,Armitage,CTO,armitage@gmail.com,(555) 555-5555,USA,"Senior Manager, IT Data Management & Analytics",Chemicals,Open,700000.0,100,AI,AI Chatbots and Virtual Assistants,500k - 2M,Yes,80,16,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEFEA4')])",Maya,Armock,Marketing Coordinator,armock@gmail.com,(777) 777-7777,USA,"Director, Information Technology",Communications,Open,750000.0,30,AI,AI Chatbots and Virtual Assistants,500k - 2M,Yes,80,16,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEGEA4')])",Mercedes,Armour,Financial Analyst,armour@gmail.com,(888) 888-8888,USA,"Vice President, Information Technology",Construction,Open,220000.0,50,AI,AI Chatbots and Virtual Assistants,0 - 500k,Yes,50,4,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEUEA4')])",Penny,ANDERSON,"VP, Finance",anderson@gmail.com,(888) 888-8888,USA,"Director, Cyber Security Engineering",Retail,Open,220000.0,47,Marketing,Digital Marketing,0 - 500k,No,130,37,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEVEA4')])",Petra,ANGUS,"VP, Facilities",angus@gmail.com,(444) 444-4444,USA,"Director, Program Management",Shipping,Open,1400000.0,56,Financial,Financial Planning and Analysis,500k - 2M,No,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEWEA4')])",Lace,ARMSTRONG,"SVP, Operations",armstrong@gmail.com,(222) 222-2222,USA,"Senior Director, Mechanical Development & Integration",Technology,Open,850000.0,50,Financial,Financial Planning and Analysis,500k - 2M,No,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEXEA4')])",Laurel,BAILLIE,CFO,baillie@gmail.com,(111) 111-1111,USA,"Director, IT Business Intelligence",Telecommunications,Open,780000.0,43,Financial,Financial Planning and Analysis,500k - 2M,No,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEYEA4')])",Layla,BAIN,"VP, Production",bain@gmail.com,(333) 333-3333,USA,Chief & It Regional Officer,Transportation,Open,67000.0,56,Financial,Financial Planning and Analysis,0 - 500k,No,130,37,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEZEA4')])",Layne,BAIRD,"SVP, Administration and Finance",baird@gmail.com,(666) 666-6666,IN,"Vice President, Product Management, Strategy & Operations",Utilities,Open,34000.0,60,Financial,Financial Planning and Analysis,0 - 500k,No,170,54,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEaEAO')])",Lennon,BARCLAY,CEO,barclay@gmail.com,(999) 999-9999,IN,Head of Technology Communications,Apparel,Open,970000.0,34,Financial,Financial Planning and Analysis,500k - 2M,No,200,66,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEbEAO')])",Lessie,BARR,"SVP, Technology",barr@gmail.com,(123) 456-9087,IN,"Director, Network Operations Center",Banking,Open,98770.0,65,Financial,Financial Planning and Analysis,0 - 500k,No,170,54,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEcEAO')])",Lily,BAXTER,CFO,baxter@gmail.com,(987) 654-1023,IN,"Director, Security",Biotechnology,Open,970000.0,67,Financial,Financial Planning and Analysis,500k - 2M,No,200,66,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEdEAO')])",Lola,BEATON,Regional General Manager,beaton@gmail.com,(555) 123-0055,IN,"Director, Technology",Chemicals,Open,560000.0,98,Financial,Auditing and Assurance,500k - 2M,No,200,66,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEeEAO')])",London,BEATTIE,"VP, Facilities",beattie@gmail.com,(789) 456-5645,IN,Finance Rotational,Communications,Open,450000.0,40,Financial,Auditing and Assurance,0 - 500k,No,170,54,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEfEAO')])",Lucia,BELL,"VP, Administration",bell@gmail.com,(246) 135-0976,IN,"Director, Information Technology",Construction,Open,33000.0,56,Financial,Auditing and Assurance,0 - 500k,No,170,54,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEgEAO')])",tally,BEVERIDGE,Financial Analyst,beveridge@gmail.com,(768) 432-7867,IN,"Director, IT Service Resolution",Consulting,Open,400000.0,80,Financial,Auditing and Assurance,0 - 500k,No,170,54,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEhEAO')])",lucyy,BLACK,Marketing Coordinator,black@gmail.com,(666) 666-6666,IN,"Director, Enterprise Applications Strategy & Integration",Education,Open,290000.0,10,Financial,Auditing and Assurance,0 - 500k,No,170,54,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEiEAO')])",lia,BLAIR,Healthcare Director,blair@gmail.com,(555) 123-0055,IN,"Director, Software Engineering",Electronics,Open,560000.0,34,Financial,Auditing and Assurance,500k - 2M,No,200,66,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEjEAO')])",Luna,BOYD,Data Scientist,boyd@gmail.com,(111) 111-1111,IN,New Product Development,Energy,Open,870000.0,20,Financial,Auditing and Assurance,500k - 2M,No,200,66,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEkEAO')])",Lyla,BOYLE,Account Executive,boyle@gmail.com,(987) 654-1023,IN,"Director, Information Technology",Engineering,Open,450000.0,40,Healthcare,Healthcare Compliance and Regulations,0 - 500k,No,170,54,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLElEAO')])",Lyra,BRODIE,Marketing Manager,brodie@gmail.com,(666) 666-6666,IN,"Senior Director, Global Services IP & PMO (North America)",Entertainment,Open,560000.0,56,Healthcare,Healthcare Compliance and Regulations,500k - 2M,No,200,66,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEmEAO')])",Lyric,BROWN,Healthcare Coordinator,brown@gmail.com,(123) 456-9087,IN,Group Head of Enterprise Security Solutions,Environmental,Open,75000.0,45,Healthcare,Healthcare Compliance and Regulations,0 - 500k,No,170,54,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEnEAO')])",Mabel,BRUCE,Production Supervisor,bruce@gmail.com,(444) 444-4444,IN,"Director, Software Operations",Finance,Open,850000.0,70,Healthcare,Healthcare Compliance and Regulations,500k - 2M,No,200,66,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEErEAO')])",Aurelia,Archey,"SVP, Operations",aurelia@gmail.com,(555) 555-5555,USA,"Vice President, Global Information Technology",Engineering,Qualified,1000000.0,150,SAP,SAP Implementation and Consulting,500k - 2M,Yes,100,25,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEEsEAO')])",Ava,Ard,CFO,ava@gmail.com,(888) 999-0000,USA,"Director, IT Planning & Strategy Transformation",Entertainment,Unqualified,500000.0,75,RPA,Process Analysis and Optimization,0 - 500k,Yes,40,0,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEEtEAO')])",Ayla,Ardoin,"VP, Production",ayla@gmail.com,(222) 222-2222,USA,"Senior Director, IT US & Canada Site Support & Global IT Site Support",Environmental,Contacted,2500000.0,200,RPA,RPA Consulting and Strategy,2M - 4M,Yes,120,33,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEEuEAO')])",Baker,Arehart,"SVP, Administration and Finance",baker@gmail.com,(444) 444-4444,USA,"Director, Security",Finance,Open,3000000.0,300,RPA,RPA Consulting and Strategy,2M - 4M,Yes,110,29,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEEqEAO')])",Audrey,Archer,"VP, Facilities",audrey@gmail.com,(123) 456-7890,USA,Sr. Analysist-Biaxin,Energy,Open,78900.0,90,SAP,SAP Implementation and Consulting,0 - 500k,Yes,50,4,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEEvEAO')])",Bea,Arensmith,CEO,bea@gmail.com,(123) 456-7890,USA,"Vice President, Implementation National Accounts",Food & Beverage,Qualified,1200000.0,50,RPA,RPA Consulting and Strategy,500k - 2M,Yes,100,25,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEEwEAO')])",Biana,Arenz,"SVP, Technology",biana@gmail.com,(987) 654-3210,USA,"Associate Director, IT Operations",Government,Unqualified,800000.0,80,RPA,RPA Consulting and Strategy,500k - 2M,Yes,70,12,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEExEAO')])",Birdie,Arey,CFO,birdie@gmail.com,(555) 123-4567,USA,"Associate Director, IT Global Enterprise Services",Healthcare,Contacted,600000.0,120,RPA,RPA Consulting and Strategy,500k - 2M,Yes,90,20,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEEyEAO')])",Shankar,Argabright,Regional General Manager,shankar@gmail.com,(111) 222-3333,USA,"Director, Business Process & Analytics",Hospitality,Open,2000000.0,250,RPA,Process Analysis and Optimization,500k - 2M,Yes,80,16,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEEzEAO')])",Blaire,Arick,"VP, Facilities",blaire@gmail.com,(333) 444-5555,USA,"Director, Information Technology",Insurance,Qualified,1500000.0,200,RPA,RPA Consulting and Strategy,500k - 2M,Yes,100,25,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEF0EAO')])",Calliope,Aring,"VP, Administration",calliope@gmail.com,(444) 555-6666,USA,"Senior VP, Television Networks Distribution & CBS Affiliate Relations",Machinery,Unqualified,900000.0,80,RPA,Process Analysis and Optimization,500k - 2M,Yes,70,12,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEF1EAO')])",Blair,Arkin,Marketing Director,blair@gmail.com,(777) 888-9999,USA,"Director, Information Technology",Manufacturing,Contacted,800000.0,120,RPA,RPA Consulting and Strategy,500k - 2M,Yes,90,20,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEF2EAO')])",Brenna,Arlin,Finance Manager,brenna@gmail.com,(222) 333-4444,USA,"Director, Corporate Information Technology",Media,Open,700000.0,75,RPA,Process Analysis and Optimization,500k - 2M,Yes,80,16,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEF3EAO')])",Briar,Armacast,Production Manager,briar@gmail.com,(666) 777-8888,USA,"Director, Innovation Research, Architecture & Digital Collaboration",Not For Profit,Qualified,2200000.0,200,RPA,RPA Consulting and Strategy,2M - 4M,Yes,130,37,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEF4EAO')])",Brielle,Armacost,Healthcare Manager,brielle@gmail.com,(555) 444-3333,USA,"Director, Information Technology",Other,Unqualified,1800000.0,150,RPA,Process Analysis and Optimization,500k - 2M,Yes,70,12,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEF5EAO')])",Brooklyn,Arman,IT Manager,brooklyn@gmail.com,(555) 444-3333,USA,"Director, Information Technology",Recreation,Contacted,950000.0,80,RPA,RPA Consulting and Strategy,500k - 2M,Yes,90,20,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEF6EAO')])",Callie,Armand,Data Scientist,callie@gmail.com,(666) 777-8888,USA,Head of RDS WAN Operations & Network Security (Americas),Retail,Open,1700000.0,220,RPA,Process Analysis and Optimization,500k - 2M,Yes,80,16,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEF7EAO')])",Calypso,Armbrust,Finance Director,calypso@gmail.com,(333) 444-5555,USA,"Director, Android Development",Shipping,Qualified,1200000.0,100,RPA,RPA Consulting and Strategy,500k - 2M,Yes,100,25,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEF8EAO')])",Camille,Armentrout,Marketing Manager,camille@gmail.com,(111) 222-3333,USA,"Director, Cybersecurity & Privacy",Technology,Unqualified,200000.0,50,RPA,Process Analysis and Optimization,0 - 500k,Yes,40,0,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEF9EAO')])",Cassia,Armer,Healthcare Director,cassia@gmail.com,(777) 888-9999,USA,"Manager, Information Technology",Telecommunications,Contacted,3000000.0,300,RPA,RPA Consulting and Strategy,2M - 4M,Yes,120,33,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEEYEA4')])",Arjun,Anweiler,"VP, Facilities",arjun@gmail.com,(333) 333-3333,USA,"Director, Information Technology (Asia)",Not For Profit,Unqualified,850000.0,75,CRM,CRM Integration and Customization,500k - 2M,Yes,70,12,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEEZEA4')])",Aum,Anwick,Marketing Manager,aum@gmail.com,(666) 666-6666,USA,"Director, Strategy Business Development",Other,Contacted,780000.0,65,CRM,CRM Software Implementation,500k - 2M,Yes,90,20,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEEaEAO')])",Ishan,Anyounonu,Healthcare Director,ishan@gmail.com,(999) 999-9999,USA,Network Management Officer (Operating Planning),Recreation,Open,67000.0,40,CRM,CRM Integration and Customization,0 - 500k,Yes,50,4,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEEbEAO')])",Anais,Anzengruber,Sales Manager,anais@gmail.com,(123) 456-9087,USA,"Global Director, Solutions Delivery Create",Retail,Qualified,34000.0,60,CRM,CRM Software Implementation,0 - 500k,Yes,70,12,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEETEA4')])",Alba,Antonie,"SVP, Administration and Finance",alba@gmail.com,(777) 777-7777,USA,"Director, Business Intelligence",Hospitality,Qualified,1600000.0,180,CRM,CRM Integration and Customization,500k - 2M,Yes,100,25,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEEUEA4')])",Alma,Antonsen,CEO,alma@gmail.com,(888) 888-8888,USA,Deputy Chief Medical Information Officer,Insurance,Unqualified,700000.0,50,CRM,CRM Software Implementation,500k - 2M,Yes,70,12,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEEVEA4')])",Amara,Antreter,"SVP, Technology",amara@gmail.com,(444) 444-4444,USA,"Director, IT Risk & Information Security",Machinery,Contacted,750000.0,55,CRM,CRM Software Implementation,500k - 2M,Yes,90,20,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEEWEA4')])",Amaya,Antrobus,CFO,amaya@gmail.com,(222) 222-2222,IN,"Director, Communications",Manufacturing,Open,220000.0,25,CRM,CRM Integration and Customization,0 - 500k,Yes,90,20,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEEXEA4')])",Amelie,Antrup,Regional General Manager,amelie@gmail.com,(111) 111-1111,IN,"Vice President, Dell Technologies Messaging",Media,Qualified,1400000.0,90,CRM,CRM Software Implementation,500k - 2M,Yes,140,41,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEEcEAO')])",Andromeda,Apedaile,Marketing Director,andromeda@gmail.com,(987) 654-1023,IN,"Vice President, Credit Trading Technology",Shipping,Unqualified,970000.0,50,CRM,CRM Integration and Customization,500k - 2M,Yes,110,29,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEEdEAO')])",Annabella,Apgar,CEO,annabella@gmail.com,(555) 123-0055,IN,"Director, Innovation & Commercialization Analytics",Technology,Contacted,98770.0,76,CRM,CRM Software Implementation,0 - 500k,Yes,100,25,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEEeEAO')])",Anya,Appel,Account Executive,anya@gmail.com,(789) 456-5645,IN,"Manager, Quality System",Telecommunications,Open,970000.0,90,SAP,SAP Customization and Development,500k - 2M,Yes,120,33,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEEfEAO')])",April,Apperson,Product Manager,april@gmail.com,(246) 135-0976,IN,"Vice President, Infrastructure Engineering",Transportation,Qualified,560000.0,100,SAP,SAP Implementation and Consulting,500k - 2M,Yes,140,41,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEEgEAO')])",Arabella,Apple,Financial Analyst,arabella@gmail.com,(768) 432-7867,IN,"Vice President, State & Local Applications",Utilities,Unqualified,450000.0,150,SAP,SAP Customization and Development,0 - 500k,Yes,80,16,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEEhEAO')])",Arden,Appleby,Marketing Coordinator,arden@gmail.com,(666) 666-6666,IN,"Associate Director, Customer Experience Technology",Apparel,Contacted,33000.0,56,SAP,SAP Customization and Development,0 - 500k,Yes,100,25,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEEiEAO')])",Ariel,Appledorn,Healthcare Director,ariel@gmail.com,(555) 123-0055,IN,"Director, Information Technology",Banking,Open,400000.0,87,SAP,SAP Implementation and Consulting,0 - 500k,Yes,90,20,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEEjEAO')])",Arya,Appleton,Data Scientist,arya@gmail.com,(111) 111-1111,IN,"Director, Business Capital Information Technology",Biotechnology,Qualified,290000.0,90,SAP,SAP Customization and Development,0 - 500k,Yes,110,29,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEEkEAO')])",Aspen,Aragon,"SVP, Production",aspen@gmail.com,(987) 654-1023,IN,"Senior Director, Film IT",Chemicals,Unqualified,560000.0,70,SAP,SAP Customization and Development,500k - 2M,Yes,110,29,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEElEAO')])",Parin,Arbogast,"SVP, Procurement",parin@gmail.com,(666) 666-6666,IN,"Director, Business Applications",Communications,Contacted,870000.0,69,SAP,SAP Implementation and Consulting,500k - 2M,Yes,130,37,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEEmEAO')])",Veer,Arbuckle,"VP, Technology",veer@gmail.com,(123) 456-9087,IN,"Director, Information Technology",Construction,Open,450000.0,45,SAP,SAP Customization and Development,0 - 500k,Yes,90,20,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEEnEAO')])",Shankar,Arce,Director of Vendor Relations,shankar@gmail.com,(444) 444-4444,USA,"Director, Infrastructure Shared Services",Consulting,Qualified,560000.0,123,SAP,SAP Customization and Development,500k - 2M,Yes,100,25,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEEoEAO')])",Astrid,Arch,CEO,astrid@gmail.com,(888) 999-0000,USA,"Program Director I, Pgy Residency",Education,Unqualified,75000.0,76,SAP,SAP Implementation and Consulting,0 - 500k,Yes,40,0,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEEpEAO')])",Athena,Archbold,"VP, Finance",athena@gmail.com,(777) 777-7777,USA,"Senior Manager, Global Collaboration Services",Electronics,Contacted,850000.0,98,SAP,SAP Customization and Development,500k - 2M,Yes,90,20,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BECNEA4')])",Sylvie,shepherd,CEO,sylvie@gmail.com,(111) 111-1111,USA,"Vice President, Manufacturing Operations & Technology",Biotechnology,Open,1400000.0,90,Marketing,Digital Marketing,500k - 2M,No,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFAEA4')])",Celeste,Armins,Sales Manager,celeste@gmail.com,(222) 333-4444,USA,"Vice President, Specification Systems & Fulfillment",Transportation,Open,750000.0,65,RPA,Process Analysis and Optimization,500k - 2M,Yes,80,16,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFBEA4')])",Charley,Armitage,Marketing Director,charley@gmail.com,(333) 444-5555,USA,"Director, Application Development",Utilities,Qualified,900000.0,80,AI,AI Chatbots and Virtual Assistants,500k - 2M,Yes,100,25,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFCEA4')])",Veer,Armock,Consultant,veer@gmail.com,(987) 654-3210,USA,Director & Chief Data Privacy Officer,Apparel,Unqualified,550000.0,45,AI,AI Chatbots and Virtual Assistants,500k - 2M,Yes,70,12,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFDEA4')])",Charley,Armour,CEO,charley@gmail.com,(123) 456-7890,IN,"Director, IT, Digital & Distributed Systems",Banking,Contacted,180000.0,30,AI,AI Chatbots and Virtual Assistants,0 - 500k,Yes,100,25,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFEEA4')])",Charlie,Armpriester,Healthcare Manager,charlie@gmail.com,(888) 999-0000,IN,Director & Employee Experience It Regional Lead,Biotechnology,Open,1600000.0,180,AI,AI Chatbots and Virtual Assistants,500k - 2M,Yes,120,33,Cold Lead
